image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0L82K_18272846_1_v1_2x.jpg,MP002XW0L82K,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 87%, Полиэстер - 13%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0L82K_18272847_2_v1_2x.jpg,MP002XW0L82K,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 87%, Полиэстер - 13%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0L82K_18272848_3_v1_2x.jpg,MP002XW0L82K,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 87%, Полиэстер - 13%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0L82K_18272849_4_v1_2x.jpg,MP002XW0L82K,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 87%, Полиэстер - 13%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKIF_24943236_1_v1_2x.jpg,MP002XW0ZKIF,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Хлопок - 90%, Акрил - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKIF_24943237_2_v1_2x.jpg,MP002XW0ZKIF,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Хлопок - 90%, Акрил - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKIF_24943238_3_v1_2x.jpg,MP002XW0ZKIF,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Хлопок - 90%, Акрил - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKIF_24943239_4_v1_2x.jpg,MP002XW0ZKIF,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Хлопок - 90%, Акрил - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKIF_24943240_5_v1_2x.jpg,MP002XW0ZKIF,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Хлопок - 90%, Акрил - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVLR_25148449_1_v1_2x.jpg,MP002XW0NVLR,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,нет,Не указано,Не указано,"Хлопок - 85%, Полиэстер - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVLR_25148450_2_v1_2x.jpg,MP002XW0NVLR,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,нет,Не указано,Не указано,"Хлопок - 85%, Полиэстер - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVLR_25148451_3_v1_2x.jpg,MP002XW0NVLR,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,нет,Не указано,Не указано,"Хлопок - 85%, Полиэстер - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVLR_25148452_4_v1_2x.jpg,MP002XW0NVLR,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,нет,Не указано,Не указано,"Хлопок - 85%, Полиэстер - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVLR_25148453_5_v1_2x.jpg,MP002XW0NVLR,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,нет,Не указано,Не указано,"Хлопок - 85%, Полиэстер - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19NXE_19562808_1_v1.jpeg,MP002XW19NXE,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19NXE_19562809_2_v1.jpeg,MP002XW19NXE,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19NXE_19562810_3_v1.jpeg,MP002XW19NXE,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19NXE_19562811_4_v1.jpeg,MP002XW19NXE,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19NXE_19562812_5_v1.jpeg,MP002XW19NXE,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19NXE_19562813_6_v1.jpeg,MP002XW19NXE,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180L7_24496761_1_v1_2x.jpg,MP002XW180L7,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180L7_24496762_2_v1_2x.jpg,MP002XW180L7,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180L7_24496763_3_v1_2x.jpg,MP002XW180L7,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180L7_24496764_4_v1_2x.jpg,MP002XW180L7,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557207_1_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557209_2_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557210_3_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557212_4_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557214_5_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKSS_24829345_1_v2.jpeg,MP002XW0ZKSS,Свитшоты,мульти,коричневый,рисунки и надписи,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKSS_24828736_2_v2.jpeg,MP002XW0ZKSS,Свитшоты,мульти,коричневый,рисунки и надписи,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKSS_24828742_3_v2.jpeg,MP002XW0ZKSS,Свитшоты,мульти,коричневый,рисунки и надписи,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKSS_24828751_4_v2.jpeg,MP002XW0ZKSS,Свитшоты,мульти,коричневый,рисунки и надписи,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKSS_24828759_5_v2.jpeg,MP002XW0ZKSS,Свитшоты,мульти,коричневый,рисунки и надписи,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZKSS_24828748_6_v2.jpeg,MP002XW0ZKSS,Свитшоты,мульти,коричневый,рисунки и надписи,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JRZ6_20680128_1_v1_2x.jpg,MP002XW0JRZ6,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,да,Не указано,Не указано,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JRZ6_20680129_2_v1_2x.jpg,MP002XW0JRZ6,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,да,Не указано,Не указано,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JRZ6_20680130_3_v1_2x.jpg,MP002XW0JRZ6,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,да,Не указано,Не указано,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JRZ6_20680131_4_v1_2x.jpg,MP002XW0JRZ6,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,да,Не указано,Не указано,"Хлопок - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0O5HA_24800459_1_v1_2x.jpg,MP002XW0O5HA,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0O5HA_24800460_2_v1_2x.jpg,MP002XW0O5HA,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0O5HA_24800461_3_v1_2x.jpg,MP002XW0O5HA,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0O5HA_24800462_4_v1_2x.jpg,MP002XW0O5HA,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0O5HA_24800463_5_v1_2x.jpg,MP002XW0O5HA,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQK9_24901993_1_v1_2x.jpeg,MP002XW0ZQK9,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"55% Хлопок, 45% Полиэстер"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQK9_24902007_2_v1_2x.jpeg,MP002XW0ZQK9,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"55% Хлопок, 45% Полиэстер"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQK9_24902033_3_v1_2x.jpeg,MP002XW0ZQK9,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"55% Хлопок, 45% Полиэстер"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQK9_24902024_4_v1_2x.jpeg,MP002XW0ZQK9,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"55% Хлопок, 45% Полиэстер"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQK9_24902015_5_v1_2x.jpeg,MP002XW0ZQK9,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"55% Хлопок, 45% Полиэстер"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQK9_24902044_6_v1_2x.jpeg,MP002XW0ZQK9,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"55% Хлопок, 45% Полиэстер"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Q5LW_22681943_1_v1.jpeg,MP002XW0Q5LW,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Q5LW_22681947_2_v1.jpeg,MP002XW0Q5LW,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Q5LW_22681949_3_v1.jpeg,MP002XW0Q5LW,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Q5LW_22681950_4_v1.jpeg,MP002XW0Q5LW,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Q5LW_22681951_5_v1.jpeg,MP002XW0Q5LW,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Q5LW_22681952_6_v1.jpeg,MP002XW0Q5LW,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17W10_24328621_1_v1.jpeg,MP002XW17W10,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Хлопок 94%, Полиэстер 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17W10_24328982_2_v1.jpeg,MP002XW17W10,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Хлопок 94%, Полиэстер 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17W10_24328601_3_v1.jpeg,MP002XW17W10,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Хлопок 94%, Полиэстер 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17W10_24328610_4_v1.jpeg,MP002XW17W10,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Хлопок 94%, Полиэстер 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17W10_24328616_5_v1.jpeg,MP002XW17W10,Худи,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Хлопок 94%, Полиэстер 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1815L_24489693_1_v2.jpg,MP002XW1815L,Олимпийки,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1815L_24489694_2_v2.jpg,MP002XW1815L,Олимпийки,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1815L_24489695_3_v2.jpg,MP002XW1815L,Олимпийки,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1815L_24489696_4_v2.jpg,MP002XW1815L,Олимпийки,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1815L_24489697_5_v1_2x.jpg,MP002XW1815L,Олимпийки,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KLJS_17909158_1_v1.jpeg,MP002XW0KLJS,Свитшоты,мульти,белый,однотонный,Не указано,флис,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KLJS_17909159_2_v1.jpeg,MP002XW0KLJS,Свитшоты,мульти,белый,однотонный,Не указано,флис,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KLJS_17909160_3_v1.jpeg,MP002XW0KLJS,Свитшоты,мульти,белый,однотонный,Не указано,флис,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KLJS_17909161_4_v1.jpeg,MP002XW0KLJS,Свитшоты,мульти,белый,однотонный,Не указано,флис,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KLJS_17909162_5_v1.jpeg,MP002XW0KLJS,Свитшоты,мульти,белый,однотонный,Не указано,флис,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KLJS_17909163_6_v1.jpeg,MP002XW0KLJS,Свитшоты,мульти,белый,однотонный,Не указано,флис,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA3B_22796747_1_v1.jpeg,MP002XW0IA3B,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA3B_22796506_2_v1.jpeg,MP002XW0IA3B,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA3B_22796513_3_v1.jpeg,MP002XW0IA3B,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA3B_22796520_4_v1.jpeg,MP002XW0IA3B,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA3B_22796527_5_v1.jpeg,MP002XW0IA3B,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA3B_22796533_6_v1.jpeg,MP002XW0IA3B,Худи и свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/X/D/XD001XW00SSN_24372621_1_v1.jpeg,XD001XW00SSN,Худи и свитшоты,мульти,голубой,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Модал - 51%, Полиэстер - 43%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/X/D/XD001XW00SSN_24372615_2_v1.jpeg,XD001XW00SSN,Худи и свитшоты,мульти,голубой,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Модал - 51%, Полиэстер - 43%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/X/D/XD001XW00SSN_24372627_3_v1.jpeg,XD001XW00SSN,Худи и свитшоты,мульти,голубой,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Модал - 51%, Полиэстер - 43%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/X/D/XD001XW00SSN_24372632_4_v1.jpeg,XD001XW00SSN,Худи и свитшоты,мульти,голубой,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Модал - 51%, Полиэстер - 43%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/X/D/XD001XW00SSN_24372373_5_v1.jpeg,XD001XW00SSN,Худи и свитшоты,мульти,голубой,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Модал - 51%, Полиэстер - 43%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/X/D/XD001XW00SSN_24372364_6_v1.jpeg,XD001XW00SSN,Худи и свитшоты,мульти,голубой,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Модал - 51%, Полиэстер - 43%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ILH9_25350112_1_v1.jpeg,MP002XW0ILH9,Олимпийки,мульти,черный,однотонный,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ILH9_25350117_2_v1.jpeg,MP002XW0ILH9,Олимпийки,мульти,черный,однотонный,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ILH9_25350121_3_v1.jpeg,MP002XW0ILH9,Олимпийки,мульти,черный,однотонный,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ILH9_25350126_4_v1.jpeg,MP002XW0ILH9,Олимпийки,мульти,черный,однотонный,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 51%, Полиэстер - 49%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z92J_25121857_1_v1_2x.jpg,MP002XW0Z92J,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z92J_25121858_2_v1_2x.jpg,MP002XW0Z92J,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z92J_25121859_3_v1_2x.jpg,MP002XW0Z92J,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z92J_25121860_4_v1_2x.jpg,MP002XW0Z92J,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z92J_25121861_5_v1_2x.jpg,MP002XW0Z92J,Свитшоты,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQKK_24902260_1_v1_2x.jpeg,MP002XW0ZQKK,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"90% Полиэстер, 10% Вискоза"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZQKK_24902263_2_v1_2x.jpeg,MP002XW0ZQKK,Олимпийки,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"90% Полиэстер, 10% Вискоза"
